Breed,Weight_kg,Age_years,RBC,Hb,WBC,Platelets,Glucose,Creatinine,ALT,MCV,MCH,MCHC,MedicalHistory,Vd,ke,CL,fi,D_eff,Xylazine_Dose_mg_per_kg,Safe_Unsafe
Golden Retriever,25.8254,10.0868,4.646,10.393,5.054,302.0,70.4,1.565,45.5,81.9704,19.9851,29.4985,Previous kidney disease,2.098,0.0195,0.0409,0.5376,0.1802,0.506,0
Poodle,7.4575,4.5316,6.503,9.934,6.22,338.9,102.4,1.111,71.7,60.7437,24.5314,27.1959,Recent surgery,1.793,0.0206,0.0369,0.5283,0.1578,0.467,0
Bulldog,18.5517,3.9667,3.5,9.406,10.253,241.7,96.3,1.005,49.4,85.0217,24.3731,28.3754,Skin conditions history,2.146,0.0194,0.0416,0.5405,0.1361,0.405,1
Mixed Breed,8.1,8.9,5.478,13.687,4.745,306.9,89.1,1.541,45.3,81.04,21.13,30.8,Previous kidney disease,1.935,0.0185,0.0358,0.5291,0.2066,0.618,0
Beagle,24.9196,9.2989,5.278,15.802,4.815,227.3,105.7,1.212,42.7,84.7818,25.4593,33.6164,Skin conditions history,2.054,0.0217,0.0446,0.5094,0.2086,0.613,1
Mixed Breed,28.3526,9.1018,5.098,10.674,8.913,196.5,105.0,0.809,44.5,79.2357,24.2925,28.7568,Not vaccinated,1.941,0.0191,0.0371,0.5215,0.1342,0.407,1
Yorkshire Terrier,3.9308,7.3486,5.184,13.026,6.574,185.7,73.1,0.799,30.3,82.3342,22.6887,27.8407,Allergies,1.865,0.0195,0.0364,0.5327,0.191,0.586,0
Poodle,8.3192,0.4908,5.128,12.008,5.864,187.6,71.7,1.007,72.1,84.6444,24.7705,30.7158,Recent surgery,1.993,0.0212,0.0423,0.5386,0.1504,0.447,0
Golden Retriever,33.6,6.6,6.373,16.971,5.492,168.7,64.4,1.091,40.4,96.63,19.36,30.33,Recent surgery,2.08,0.0223,0.0464,0.5249,0.2454,0.698,0
Beagle,19.8162,0.9193,4.864,8.016,6.219,273.2,80.2,0.93,38.6,68.5105,19.637,27.784,Dental issues,1.996,0.0241,0.0481,0.5219,0.1901,0.539,0
Labrador Retriever,32.1,14.2,5.123,14.5,9.653,348.4,104.4,1.462,44.5,85.59,25.52,33.21,Vaccinated,2.026,0.0224,0.0454,0.5285,0.2472,0.699,1
Labrador Retriever,36.4,11.4,6.133,17.304,6.905,249.2,87.3,0.944,31.6,87.59,26.57,32.78,Vaccinated,1.892,0.0225,0.0426,0.5249,0.2288,0.642,0
Yorkshire Terrier,6.2,5.7,5.349,14.732,12.316,421.7,87.0,0.716,50.4,87.57,24.57,30.86,Skin conditions history,1.831,0.0224,0.041,0.5279,0.187,0.566,0
Mixed Breed,11.4,2.6,6.293,14.156,5.628,315.0,84.2,0.852,40.8,67.99,27.67,28.54,No previous conditions,2.044,0.0214,0.0437,0.5285,0.1908,0.57,0
Golden Retriever,40.5441,10.6463,5.477,13.55,6.833,262.6,85.7,1.079,54.3,95.5526,26.2815,32.3614,Parasite history,2.024,0.0204,0.0413,0.5311,0.2134,0.642,1
Boxer,18.4,14.1,5.218,13.488,3.893,239.8,108.4,0.792,91.8,81.24,22.49,28.63,Allergies,2.049,0.0208,0.0426,0.5297,0.1962,0.596,1
Yorkshire Terrier,6.6,0.5,6.356,15.717,6.935,179.9,85.0,0.754,58.4,75.56,19.29,32.66,Previous heart condition,1.819,0.022,0.04,0.5267,0.1355,0.409,0
Boxer,24.138,6.9225,4.778,9.033,8.062,443.3,98.8,1.752,70.7,76.47,26.8674,29.6496,Previous kidney disease,1.935,0.0185,0.0358,0.5377,0.1633,0.512,0
Yorkshire Terrier,6.3,7.9,5.579,13.043,6.095,336.0,89.9,0.613,60.5,84.75,20.5,32.29,Previous heart condition,1.852,0.021,0.0389,0.5298,0.1675,0.509,0
Rottweiler,29.6674,3.9583,4.382,14.762,5.066,176.8,85.5,1.119,38.8,97.9346,20.9962,34.0115,Allergies,1.955,0.0218,0.0426,0.5406,0.2113,0.575,1
Boxer,14.5306,1.0327,4.784,11.922,5.785,271.0,88.3,1.313,67.2,84.3671,24.0905,29.5691,Recent surgery,1.946,0.0214,0.0416,0.5356,0.1476,0.475,1
Mixed Breed,20.6,14.3,4.82,11.917,10.435,279.2,100.8,1.506,33.6,89.35,27.24,33.04,Previous kidney disease,1.974,0.0185,0.0365,0.5313,0.1923,0.578,0
Bulldog,18.0,5.7,5.895,10.295,14.72,430.9,74.3,1.591,38.2,71.1,25.66,30.33,Previous kidney disease,2.221,0.0175,0.0389,0.5327,0.15,0.472,0
Beagle,24.5,1.5,6.278,13.752,8.925,214.7,86.6,1.029,65.0,88.19,27.55,33.52,Skin conditions history,2.004,0.0212,0.0425,0.529,0.1912,0.556,1
German Shepherd,36.464,1.0762,4.167,12.272,4.41,118.8,103.4,1.522,42.4,79.8137,27.1637,31.8312,Chronic illness,2.006,0.0201,0.0403,0.5426,0.2013,0.569,0
Yorkshire Terrier,4.9,12.9,5.665,14.174,7.523,346.3,112.7,1.796,37.6,83.77,24.6,29.56,Previous kidney disease,1.864,0.0211,0.0393,0.529,0.1629,0.494,1
Poodle,3.4,8.0,6.728,17.216,6.456,246.3,95.9,0.857,66.8,87.52,24.41,32.73,Parasite history,1.944,0.0217,0.0422,0.5252,0.1897,0.555,0
Poodle,3.7,5.5,6.941,17.32,9.859,230.5,97.1,0.998,30.2,82.97,25.51,32.17,Vaccinated,1.884,0.0203,0.0382,0.5251,0.1614,0.472,1
German Shepherd,35.5691,9.3105,4.968,14.41,10.567,343.9,96.4,1.158,44.1,82.6928,22.5904,31.2071,Allergies,1.927,0.0221,0.0426,0.5177,0.2436,0.69,1
German Shepherd,25.6679,5.2893,3.568,9.093,9.378,265.4,81.2,1.13,43.2,88.324,27.3576,27.9247,Dental issues,2.055,0.0227,0.0466,0.5318,0.203,0.576,0
Labrador Retriever,44.3803,3.5558,5.356,13.951,3.85,243.6,100.7,1.411,63.9,88.5468,26.4401,29.1461,Chronic illness,1.874,0.0238,0.0446,0.5268,0.1864,0.538,1
German Shepherd,35.2,12.8,7.085,17.916,5.203,239.2,93.2,1.168,74.0,83.74,25.29,30.8,Recent surgery,1.998,0.0209,0.0418,0.5243,0.2059,0.585,1
Rottweiler,35.7836,6.9551,5.796,14.632,9.061,288.7,64.6,1.283,32.2,88.0131,19.5922,29.1423,Previous heart condition,2.014,0.0239,0.0481,0.5359,0.195,0.549,0
Rottweiler,26.0404,10.4107,4.201,11.434,4.512,130.6,88.7,1.132,36.1,84.6223,21.7195,31.2451,Not vaccinated,2.088,0.0211,0.044,0.5494,0.2234,0.627,1
Mixed Breed,26.8,4.5,5.681,12.96,7.677,237.4,76.7,1.336,59.5,80.83,24.28,32.45,Recent surgery,2.0,0.0194,0.0388,0.5297,0.1496,0.448,0
Golden Retriever,37.2,0.8,3.846,8.0,8.068,550.0,75.6,1.215,34.1,76.2,20.92,28.0,Skin conditions history,2.01,0.0214,0.043,0.5354,0.231,0.672,0
Beagle,30.3,14.3,5.37,13.159,14.369,350.3,102.5,0.907,65.6,72.05,19.84,32.36,No previous conditions,1.959,0.0219,0.0429,0.53,0.1839,0.536,1
German Shepherd,38.0,8.4,5.124,12.822,4.275,235.9,74.9,1.318,66.4,88.95,23.28,31.61,Recent surgery,2.088,0.0217,0.0453,0.5298,0.1743,0.501,1
Bulldog,20.7143,10.0653,6.276,15.89,6.81,290.6,105.3,1.184,66.1,86.9579,19.6971,31.4505,Skin conditions history,2.165,0.0184,0.0398,0.5265,0.1725,0.544,1
Bulldog,15.0,7.6,3.5,8.0,3.0,261.1,108.9,0.687,40.3,66.86,21.96,28.0,No previous conditions,2.157,0.0187,0.0403,0.536,0.1729,0.548,0
Labrador Retriever,37.6863,0.7052,4.079,10.155,7.235,226.7,86.9,1.527,38.4,90.2154,19.8459,31.1186,No previous conditions,1.984,0.0232,0.046,0.523,0.2009,0.585,1
Poodle,3.6,2.5,5.349,15.735,4.031,283.5,80.4,0.995,44.7,80.94,27.44,32.35,Skin conditions history,1.933,0.0202,0.039,0.5266,0.2154,0.632,0
Mixed Breed,13.2,6.5,4.879,12.651,14.898,345.6,101.4,0.964,30.9,87.61,19.25,29.67,Skin conditions history,1.995,0.0198,0.0395,0.5305,0.166,0.498,1
Boxer,15.3006,8.9353,6.621,17.633,5.944,228.9,105.7,1.087,52.9,84.4616,22.2839,30.1534,Chronic illness,2.076,0.021,0.0436,0.5181,0.1755,0.548,1
Beagle,22.8723,0.8038,5.958,13.326,3.768,307.7,83.1,1.22,41.8,80.4595,21.6281,30.3909,Dental issues,1.865,0.0213,0.0397,0.5275,0.1781,0.526,1
Labrador Retriever,30.5137,6.7815,5.243,16.003,3.022,185.2,99.9,1.178,33.7,91.5857,22.9073,32.4188,Previous heart condition,1.975,0.0228,0.045,0.5179,0.2093,0.597,0
Beagle,29.2,2.2,6.606,17.534,4.519,137.2,108.1,1.069,45.1,86.76,20.82,32.27,Parasite history,1.965,0.0222,0.0436,0.525,0.1952,0.563,1
Mixed Breed,40.0,10.6,4.831,13.875,14.474,265.6,112.6,2.041,50.7,83.38,26.16,29.69,Previous kidney disease,2.004,0.0199,0.0399,0.5293,0.1644,0.492,0
Boxer,22.8775,7.5114,5.638,13.334,7.836,274.3,86.6,1.113,66.4,77.2191,27.3311,28.4868,Allergies,2.078,0.0207,0.043,0.5389,0.2194,0.626,1
Boxer,21.8482,5.2368,5.786,12.778,8.117,215.2,102.1,1.162,61.7,81.423,22.2972,30.2362,Parasite history,1.917,0.0218,0.0418,0.5258,0.1516,0.467,0
Mixed Breed,33.1,4.8,5.917,9.76,4.99,121.0,106.4,1.417,47.7,69.07,19.24,28.0,Parasite history,2.007,0.0181,0.0363,0.5339,0.1857,0.561,0
Rottweiler,42.2513,8.3533,6.937,17.667,8.325,266.5,80.7,0.85,74.1,90.4154,23.4027,32.4184,Parasite history,2.015,0.0196,0.0395,0.5009,0.1903,0.538,0
Mixed Breed,32.8446,7.6606,6.724,19.428,11.228,304.1,107.7,1.213,66.6,84.9306,20.0533,32.251,Recent surgery,1.951,0.0205,0.04,0.5193,0.2026,0.596,0
Rottweiler,34.0943,14.7269,6.894,14.905,8.077,285.6,81.9,1.049,38.1,84.8197,18.9749,32.8098,Skin conditions history,1.979,0.0217,0.0429,0.5345,0.1853,0.492,1
Bulldog,21.4,5.4,6.637,17.336,7.828,131.8,102.5,1.741,52.6,88.35,19.96,30.55,Previous kidney disease,2.199,0.0198,0.0435,0.5252,0.1488,0.461,0
Rottweiler,30.1,2.9,6.27,15.771,6.973,227.5,87.4,1.059,44.6,79.86,23.11,31.37,Recent surgery,1.998,0.0211,0.0422,0.5267,0.2382,0.671,1
Poodle,4.0,2.6,5.76,13.362,5.253,247.4,81.4,0.807,43.8,85.66,22.46,30.05,No previous conditions,1.918,0.0197,0.0378,0.5293,0.2091,0.617,1
Rottweiler,45.0,7.8,6.4,15.951,10.561,266.7,79.5,1.348,33.0,87.07,20.31,31.69,Dental issues,2.002,0.0235,0.047,0.5263,0.2125,0.598,1
Yorkshire Terrier,9.8,7.5,4.032,9.85,12.868,345.5,59.3,1.007,47.5,89.5,24.34,28.38,Allergies,1.917,0.0222,0.0426,0.5329,0.1599,0.489,0
Bulldog,22.5994,5.6436,5.22,14.18,7.262,214.6,90.0,0.818,52.1,83.2629,26.3781,30.742,Parasite history,2.06,0.0197,0.0406,0.5313,0.1574,0.484,1
Beagle,28.3113,5.8373,4.352,8.767,4.685,138.4,90.2,0.952,32.4,82.4094,22.0583,30.5686,Skin conditions history,1.926,0.0216,0.0416,0.5304,0.1835,0.546,0
Yorkshire Terrier,6.5448,14.7974,5.614,10.516,6.26,235.6,81.1,0.862,52.0,75.3011,21.4584,29.7792,Skin conditions history,1.888,0.0181,0.0342,0.5186,0.1879,0.584,0
Mixed Breed,28.2218,11.4256,5.525,13.644,7.217,281.2,88.1,1.096,52.0,89.8115,26.9432,28.5479,Allergies,1.988,0.0204,0.0405,0.537,0.2136,0.618,1
Yorkshire Terrier,3.6629,7.512,5.905,15.472,5.627,264.4,121.7,0.934,57.1,80.8059,23.6125,33.6465,Parasite history,1.955,0.0214,0.0418,0.5287,0.1909,0.557,0
Poodle,8.934,8.428,6.421,17.452,14.999,211.9,68.0,1.06,39.3,74.2188,19.4046,31.7706,Not vaccinated,1.945,0.022,0.0428,0.5078,0.1993,0.605,0
German Shepherd,25.0,10.5,7.014,18.424,7.878,290.4,77.8,2.152,44.4,91.16,23.24,30.8,Previous kidney disease,2.018,0.0205,0.0414,0.5234,0.2384,0.676,0
Boxer,24.7,15.0,5.582,12.773,5.62,274.0,63.9,1.265,72.7,88.35,20.14,31.7,Dental issues,1.953,0.0217,0.0424,0.5297,0.1524,0.463,0
Beagle,33.7174,2.404,5.846,13.363,4.722,200.5,92.9,1.985,36.2,83.5207,25.869,32.0099,Previous kidney disease,1.977,0.0188,0.0372,0.5247,0.2199,0.658,0
Golden Retriever,41.1719,9.4708,5.775,13.644,8.086,241.1,88.1,1.189,34.9,88.5275,24.5138,28.683,Allergies,1.927,0.0224,0.0432,0.5376,0.2012,0.582,1
Boxer,15.9,3.5,6.083,10.473,7.209,374.9,89.9,1.03,57.7,79.88,26.28,28.88,Previous heart condition,2.074,0.021,0.0436,0.5328,0.1995,0.61,0
Boxer,27.1886,10.4168,7.217,17.054,5.988,280.7,87.9,1.299,48.7,82.2757,26.4925,32.6985,Previous heart condition,2.01,0.0217,0.0436,0.5288,0.166,0.486,0
German Shepherd,45.5509,9.1226,5.896,11.79,12.01,187.4,93.1,1.07,38.1,71.8443,22.9303,29.6101,Parasite history,1.949,0.0205,0.0399,0.5249,0.188,0.526,1
Golden Retriever,44.9114,5.5683,5.097,15.855,6.251,196.9,75.9,1.147,34.5,90.4834,19.2329,30.9966,Not vaccinated,1.938,0.0223,0.0432,0.529,0.1997,0.556,0
Boxer,17.0,0.5,6.779,18.702,10.421,289.6,96.4,1.298,60.2,85.96,23.64,30.24,Chronic illness,2.03,0.0215,0.0436,0.5235,0.1624,0.487,0
Labrador Retriever,38.0634,3.8288,5.853,15.645,6.928,205.1,77.9,2.2,67.1,92.0963,25.3566,29.5336,Previous kidney disease,1.959,0.0236,0.0462,0.5044,0.1867,0.528,0
Bulldog,18.2865,9.5051,5.271,13.212,4.886,201.2,74.9,0.947,85.6,78.7786,22.5753,30.7831,Skin conditions history,2.131,0.0196,0.0418,0.5527,0.168,0.524,1
German Shepherd,44.1,12.1,4.968,13.729,6.39,352.3,94.7,2.2,38.6,86.01,23.7,29.85,Previous kidney disease,2.058,0.0213,0.0438,0.5292,0.2212,0.635,0
Beagle,30.2035,9.1263,6.166,14.387,8.531,226.2,83.8,1.223,71.4,76.8714,19.1449,27.731,Allergies,2.003,0.0222,0.0445,0.5233,0.1929,0.596,1
Poodle,3.524,0.4884,6.432,15.47,7.232,244.9,111.5,0.717,36.5,89.1132,22.8389,31.8418,Previous heart condition,2.039,0.0199,0.0406,0.5085,0.2021,0.59,1
Rottweiler,38.8341,8.2125,6.179,14.034,8.806,273.7,78.2,1.3,35.8,83.7918,24.3871,29.642,Not vaccinated,1.973,0.0239,0.0472,0.521,0.1797,0.526,1
Beagle,21.563,8.1682,7.683,18.026,3.411,144.0,91.6,1.07,45.3,78.4334,26.7546,32.8813,No previous conditions,1.982,0.0214,0.0424,0.5141,0.1895,0.568,1
German Shepherd,30.6436,7.8806,3.5,8.0,3.0,252.3,65.5,0.948,61.2,70.9589,24.3396,26.9879,No previous conditions,2.015,0.0219,0.0441,0.5387,0.2181,0.624,0
Labrador Retriever,36.5833,5.6221,7.638,17.965,4.324,102.7,109.3,1.515,38.2,75.748,22.8115,32.7361,Previous heart condition,1.93,0.0225,0.0434,0.5241,0.1851,0.546,0
German Shepherd,24.8974,10.3924,4.97,12.977,3.526,127.8,104.1,1.097,53.1,84.4718,20.5832,29.6364,Skin conditions history,2.063,0.0228,0.047,0.5226,0.2264,0.645,1
Beagle,22.9276,13.0253,4.754,11.27,9.439,184.7,80.4,1.152,40.4,69.9771,20.2135,34.0111,Parasite history,1.975,0.0202,0.0399,0.5402,0.1983,0.566,1
Mixed Breed,23.7,10.7,6.122,9.399,8.021,506.6,85.7,1.076,54.3,70.21,23.62,28.0,Dental issues,2.079,0.02,0.0416,0.5339,0.1655,0.5,0
Poodle,4.8,8.1,5.75,16.969,3.0,247.9,74.7,1.005,31.1,87.33,23.93,31.32,Previous heart condition,1.886,0.0202,0.0381,0.525,0.2114,0.618,0
Labrador Retriever,33.8169,3.7994,5.658,14.431,6.719,208.5,78.1,1.181,61.6,85.2163,19.6052,30.7505,Allergies,1.952,0.0234,0.0457,0.5222,0.1865,0.514,0
German Shepherd,42.8852,0.7932,5.522,12.752,4.872,228.1,90.6,1.188,59.2,85.4021,21.6488,29.5919,Skin conditions history,1.933,0.0222,0.0429,0.5407,0.2226,0.624,1
German Shepherd,28.2,6.3,4.879,15.644,7.536,224.2,110.2,0.812,46.8,86.35,24.13,30.97,Previous heart condition,1.99,0.0219,0.0436,0.5272,0.2085,0.596,1
Rottweiler,42.4,9.6,7.075,18.122,8.296,233.7,94.3,1.497,33.6,89.85,21.1,33.46,Dental issues,1.928,0.0233,0.0449,0.5241,0.1995,0.559,1
Bulldog,21.8,8.7,5.837,18.12,3.608,163.1,71.5,1.149,33.6,87.59,24.4,34.21,Parasite history,2.236,0.0192,0.0429,0.5237,0.182,0.562,0
Golden Retriever,34.8,6.3,5.268,10.447,17.331,323.2,92.3,1.674,43.0,70.67,27.72,28.0,Chronic illness,2.055,0.0194,0.0399,0.5329,0.2292,0.663,1
Bulldog,26.5,10.5,4.668,9.416,6.92,256.9,84.4,1.056,52.6,91.64,25.05,30.02,Parasite history,2.194,0.0191,0.0419,0.5339,0.1778,0.561,1
Yorkshire Terrier,6.3,5.2,7.399,18.736,12.095,184.6,95.1,0.861,56.8,91.2,19.4,29.96,Dental issues,1.858,0.0212,0.0394,0.5234,0.1511,0.453,1
Beagle,17.1,3.8,6.198,14.504,11.832,234.6,85.4,1.032,53.0,77.17,25.58,30.94,Recent surgery,2.099,0.0222,0.0466,0.5281,0.2246,0.652,1
Rottweiler,32.9,3.0,4.939,10.789,4.03,258.5,71.8,1.247,45.5,83.37,24.17,30.25,Skin conditions history,2.171,0.0204,0.0443,0.5321,0.187,0.533,1
Golden Retriever,34.6955,15.0233,4.791,12.642,13.072,282.4,101.3,1.336,69.7,75.7168,19.3358,31.442,Dental issues,1.995,0.022,0.0439,0.526,0.2059,0.598,1
Boxer,23.5,6.7,6.275,9.993,4.136,271.4,101.8,1.404,104.8,62.68,19.9,29.05,Chronic illness,1.98,0.021,0.0416,0.5336,0.1818,0.557,0
Boxer,19.7,15.0,5.121,12.882,5.983,269.5,102.5,1.134,57.6,78.48,24.34,32.43,Parasite history,2.087,0.0219,0.0457,0.5303,0.1877,0.571,0
Bulldog,24.7,6.3,5.685,15.864,6.442,275.2,66.3,1.268,32.0,83.69,27.39,33.1,Vaccinated,2.111,0.0193,0.0407,0.5262,0.1878,0.583,1
German Shepherd,33.2,5.5,4.45,11.451,4.981,262.3,87.2,1.51,59.0,84.67,20.94,29.96,Recent surgery,1.968,0.0201,0.0396,0.5316,0.2222,0.641,1
Boxer,19.6824,5.8624,5.307,13.529,5.71,233.1,83.4,1.041,36.5,80.9741,22.4205,30.4186,Allergies,2.023,0.0206,0.0417,0.5142,0.1835,0.562,0
Golden Retriever,38.1,1.8,6.645,17.483,10.979,359.5,88.4,1.482,33.9,85.78,23.62,38.0,No previous conditions,1.992,0.0226,0.045,0.5247,0.2455,0.698,1
Yorkshire Terrier,4.5756,11.2975,6.283,13.298,8.738,274.1,89.6,1.63,46.7,81.9609,23.5261,29.0661,Previous kidney disease,1.872,0.0194,0.0363,0.524,0.1564,0.481,0
Rottweiler,24.8364,8.4303,5.829,13.665,12.36,275.6,125.2,0.858,130.0,78.2235,26.2677,30.4626,Dental issues,1.941,0.023,0.0446,0.5301,0.2188,0.598,0
Yorkshire Terrier,9.7,4.4,5.873,14.152,6.525,208.4,87.0,0.781,33.4,72.95,26.34,30.91,No previous conditions,1.898,0.0211,0.04,0.5285,0.1894,0.574,0
Yorkshire Terrier,5.6,8.8,5.743,15.181,3.579,126.0,69.9,0.73,49.0,88.57,23.84,32.52,No previous conditions,1.907,0.0189,0.036,0.527,0.1507,0.455,1
Beagle,15.8,3.0,7.115,16.524,8.443,330.2,100.5,1.249,54.1,86.18,20.15,30.86,Vaccinated,2.027,0.0224,0.0454,0.5261,0.2076,0.6,1
Beagle,24.0648,11.2969,4.92,12.499,7.423,248.6,75.3,0.885,74.0,84.0859,22.5522,27.7622,Skin conditions history,1.956,0.0212,0.0415,0.5239,0.2052,0.604,1
Beagle,16.8,12.1,5.26,8.376,6.891,241.6,113.6,1.227,118.9,64.58,24.58,29.05,Chronic illness,2.009,0.0218,0.0438,0.5356,0.237,0.699,0
Beagle,22.2,8.0,6.676,16.558,5.041,129.3,90.1,1.173,33.2,77.91,26.91,28.32,Vaccinated,2.046,0.0207,0.0424,0.5258,0.1928,0.557,1
Golden Retriever,35.2,5.7,6.883,17.379,8.765,160.2,110.4,1.431,52.4,88.33,22.63,29.7,Recent surgery,2.014,0.0225,0.0453,0.5253,0.1911,0.544,1
Mixed Breed,10.2017,6.5086,5.337,13.757,10.13,210.0,88.7,0.996,97.0,83.139,27.3528,31.7238,Chronic illness,2.093,0.02,0.0419,0.5369,0.159,0.459,0
Labrador Retriever,38.0,4.8,5.426,12.443,5.685,279.7,72.5,1.387,43.1,74.76,21.67,28.35,Previous heart condition,2.066,0.0228,0.0471,0.5302,0.2104,0.597,1
Bulldog,21.945,13.9224,4.931,11.493,5.974,131.6,92.1,1.706,58.4,84.709,23.6964,29.0181,Chronic illness,2.2,0.0183,0.0403,0.5129,0.1733,0.566,0
Boxer,17.3,3.1,6.802,16.561,10.34,280.7,65.8,1.28,31.4,84.77,22.85,31.46,Not vaccinated,2.077,0.0207,0.043,0.5253,0.1924,0.579,1
Boxer,27.4982,2.6372,5.155,15.493,5.755,242.9,60.1,1.074,68.4,89.1393,23.4699,34.0853,Recent surgery,1.947,0.0199,0.0387,0.5196,0.1929,0.58,0
Mixed Breed,32.9995,1.0272,6.108,14.128,9.643,282.5,77.7,1.294,32.1,82.4059,19.387,33.3272,Previous heart condition,2.006,0.0196,0.0393,0.5311,0.1706,0.484,0
Golden Retriever,25.2904,10.1884,4.837,10.16,5.205,301.5,74.5,1.543,46.0,82.1598,18.6808,28.3886,Previous kidney disease,2.005,0.02,0.0401,0.5286,0.1772,0.508,0
Beagle,30.3146,8.144,5.606,11.92,5.386,232.6,93.7,1.166,38.5,83.7403,27.6764,31.2477,Allergies,1.932,0.0226,0.0437,0.533,0.2161,0.64,0
Beagle,19.404,0.8824,6.628,14.866,8.577,279.6,110.1,1.026,128.3,79.4598,27.5731,29.8667,Recent surgery,2.029,0.0216,0.0438,0.5342,0.1694,0.517,0
Boxer,15.2697,7.7911,4.907,11.878,8.212,196.1,76.1,1.128,81.0,83.0663,23.7641,30.3717,Not vaccinated,1.984,0.0191,0.0379,0.5118,0.2079,0.606,0
Rottweiler,27.8061,1.4788,6.452,11.239,4.671,279.3,69.5,1.25,31.3,67.9479,19.8211,30.6381,Previous heart condition,2.079,0.0218,0.0453,0.532,0.1979,0.564,0
Mixed Breed,6.0154,1.2009,5.329,15.672,8.071,175.9,97.4,1.503,46.5,90.9797,19.5447,30.1176,Previous kidney disease,2.06,0.0186,0.0383,0.5177,0.1909,0.559,1
Boxer,30.0,5.5,5.552,13.633,3.436,273.3,62.7,0.911,31.2,84.11,27.9,30.94,Allergies,1.992,0.0216,0.043,0.5286,0.1977,0.599,1
Boxer,28.3,11.6,3.5,20.392,13.595,245.3,69.9,1.089,39.7,88.78,22.56,32.41,No previous conditions,2.032,0.0212,0.0431,0.521,0.1848,0.551,1
Boxer,15.0,8.5,6.305,15.651,9.399,251.8,99.4,1.08,35.4,84.84,19.55,31.43,Dental issues,2.026,0.0227,0.046,0.527,0.15,0.453,1
Bulldog,25.7,0.7,6.035,12.695,4.781,316.2,102.5,1.546,69.7,79.37,21.19,29.77,Previous kidney disease,2.127,0.0182,0.0387,0.5305,0.1721,0.539,0
Beagle,15.0,9.0,4.819,10.22,7.409,322.8,72.3,1.327,51.2,79.16,21.06,29.78,Recent surgery,1.995,0.0224,0.0447,0.5327,0.1842,0.54,1
German Shepherd,35.5,3.6,7.257,18.392,5.196,203.5,83.0,1.242,37.1,93.18,20.4,33.49,Recent surgery,1.956,0.0217,0.0424,0.5236,0.1794,0.509,1
Beagle,22.0804,9.2056,7.209,19.333,14.743,263.2,106.7,1.218,38.8,85.9018,24.3782,33.8145,Parasite history,1.896,0.0218,0.0413,0.5125,0.1854,0.507,1
Poodle,3.0,5.1,5.767,15.71,4.661,121.1,78.3,0.841,44.4,88.68,23.97,31.15,Recent surgery,1.988,0.0213,0.0423,0.5266,0.2212,0.649,0
Rottweiler,30.8,8.1,4.565,9.098,15.793,169.8,95.5,1.534,55.7,60.14,25.95,31.27,Not vaccinated,2.003,0.0216,0.0433,0.5345,0.2364,0.677,0
Golden Retriever,29.0,5.3,6.629,14.202,5.837,255.1,75.6,1.627,59.2,78.61,24.64,31.07,Chronic illness,1.973,0.0214,0.0422,0.5282,0.184,0.527,0
Beagle,20.5741,11.4265,5.334,12.294,13.961,352.5,93.7,1.806,56.6,73.1378,25.5584,33.4128,Previous kidney disease,1.969,0.0206,0.0406,0.5321,0.2119,0.659,0
Labrador Retriever,43.2,4.9,6.388,14.749,5.211,143.8,80.3,1.435,33.3,77.41,25.92,31.47,No previous conditions,2.035,0.0222,0.0452,0.5277,0.1959,0.553,1
Golden Retriever,37.733,4.0051,5.782,14.75,12.171,313.3,81.3,1.608,60.9,73.1911,22.5059,31.9753,Chronic illness,1.872,0.0205,0.0384,0.5186,0.2259,0.643,1
Mixed Breed,5.0,13.8,5.52,11.928,10.321,550.0,111.0,1.196,39.7,96.84,27.8,28.0,Chronic illness,2.004,0.0198,0.0397,0.5315,0.1377,0.414,1
Golden Retriever,41.3,7.9,5.884,17.09,6.54,273.3,95.7,1.939,48.8,86.52,24.09,30.48,Previous kidney disease,1.967,0.0204,0.0401,0.5253,0.1911,0.544,0
Boxer,20.0791,14.6629,7.076,18.883,10.893,355.9,95.1,1.292,105.3,86.2114,19.0983,33.2924,Previous kidney disease,1.97,0.0183,0.0361,0.5297,0.2098,0.62,0
Bulldog,23.8,6.0,7.438,19.202,4.59,198.3,109.9,1.058,50.6,81.43,22.84,31.38,No previous conditions,2.188,0.0204,0.0446,0.5232,0.1871,0.577,0
Rottweiler,24.6828,3.2926,5.027,12.208,5.831,285.9,97.7,1.028,33.0,81.0965,26.8071,31.196,Parasite history,2.009,0.0232,0.0466,0.5305,0.2306,0.674,1
German Shepherd,42.8278,11.4166,4.855,10.951,4.039,272.7,75.1,1.311,38.9,77.8295,19.0337,31.0662,No previous conditions,1.959,0.0205,0.0402,0.5355,0.2056,0.554,1
Bulldog,22.0242,2.6843,3.5,8.0,7.802,544.6,94.1,1.12,63.3,76.5268,24.5521,27.8724,Previous heart condition,2.196,0.0183,0.0402,0.5626,0.1515,0.465,0
Rottweiler,24.4211,7.7111,8.06,15.562,12.666,550.0,91.8,1.076,54.0,66.3677,24.5839,28.7118,Allergies,2.01,0.0206,0.0414,0.5107,0.2495,0.692,1
Boxer,26.4763,14.5315,6.976,15.068,3.221,229.8,83.6,1.38,58.5,76.9772,21.5736,29.4645,Chronic illness,2.043,0.0195,0.0398,0.528,0.1684,0.501,0
